timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711626480000,2024-03-28T11:48:00Z,288-1-1-116,,device_not_recording
1711626540000,2024-03-28T11:49:00Z,288-1-1-116,,device_not_recording
1711626600000,2024-03-28T11:50:00Z,288-1-1-116,,device_not_recording
1711626660000,2024-03-28T11:51:00Z,288-1-1-116,,device_not_recording
1711626720000,2024-03-28T11:52:00Z,288-1-1-116,,device_not_recording
1711626780000,2024-03-28T11:53:00Z,288-1-1-116,,device_not_recording
1711626840000,2024-03-28T11:54:00Z,288-1-1-116,,device_not_recording
1711626900000,2024-03-28T11:55:00Z,288-1-1-116,,device_not_recording
1711626960000,2024-03-28T11:56:00Z,288-1-1-116,,device_not_recording
1711627020000,2024-03-28T11:57:00Z,288-1-1-116,,device_not_recording
1711627080000,2024-03-28T11:58:00Z,288-1-1-116,,device_not_recording
1711627140000,2024-03-28T11:59:00Z,288-1-1-116,,device_not_recording
1711627200000,2024-03-28T12:00:00Z,288-1-1-116,,device_not_recording
1711627260000,2024-03-28T12:01:00Z,288-1-1-116,,device_not_recording
1711627320000,2024-03-28T12:02:00Z,288-1-1-116,,device_not_recording
1711627380000,2024-03-28T12:03:00Z,288-1-1-116,,device_not_recording
1711627440000,2024-03-28T12:04:00Z,288-1-1-116,,device_not_recording
1711627500000,2024-03-28T12:05:00Z,288-1-1-116,,device_not_recording
1711627560000,2024-03-28T12:06:00Z,288-1-1-116,,device_not_recording
1711627620000,2024-03-28T12:07:00Z,288-1-1-116,,device_not_recording
1711627680000,2024-03-28T12:08:00Z,288-1-1-116,,device_not_recording
1711627740000,2024-03-28T12:09:00Z,288-1-1-116,,device_not_recording
1711627800000,2024-03-28T12:10:00Z,288-1-1-116,,device_not_recording
1711627860000,2024-03-28T12:11:00Z,288-1-1-116,,device_not_recording
1711627920000,2024-03-28T12:12:00Z,288-1-1-116,,device_not_recording
1711627980000,2024-03-28T12:13:00Z,288-1-1-116,,device_not_recording
1711628040000,2024-03-28T12:14:00Z,288-1-1-116,,device_not_recording
1711628100000,2024-03-28T12:15:00Z,288-1-1-116,,device_not_recording
1711628160000,2024-03-28T12:16:00Z,288-1-1-116,,device_not_recording
1711628220000,2024-03-28T12:17:00Z,288-1-1-116,,device_not_recording
1711628280000,2024-03-28T12:18:00Z,288-1-1-116,,device_not_recording
1711628340000,2024-03-28T12:19:00Z,288-1-1-116,,device_not_recording
1711628400000,2024-03-28T12:20:00Z,288-1-1-116,,device_not_recording
1711628460000,2024-03-28T12:21:00Z,288-1-1-116,,device_not_recording
1711628520000,2024-03-28T12:22:00Z,288-1-1-116,,device_not_recording
1711628580000,2024-03-28T12:23:00Z,288-1-1-116,,device_not_recording
1711628640000,2024-03-28T12:24:00Z,288-1-1-116,,device_not_recording
1711628700000,2024-03-28T12:25:00Z,288-1-1-116,,device_not_recording
1711628760000,2024-03-28T12:26:00Z,288-1-1-116,,device_not_recording
1711628820000,2024-03-28T12:27:00Z,288-1-1-116,,device_not_recording
1711628880000,2024-03-28T12:28:00Z,288-1-1-116,,device_not_recording
1711628940000,2024-03-28T12:29:00Z,288-1-1-116,,device_not_recording
1711629000000,2024-03-28T12:30:00Z,288-1-1-116,,device_not_recording
1711629060000,2024-03-28T12:31:00Z,288-1-1-116,,device_not_recording
1711629120000,2024-03-28T12:32:00Z,288-1-1-116,,device_not_recording
1711629180000,2024-03-28T12:33:00Z,288-1-1-116,,device_not_recording
1711629240000,2024-03-28T12:34:00Z,288-1-1-116,,device_not_recording
1711629300000,2024-03-28T12:35:00Z,288-1-1-116,,device_not_recording
1711629360000,2024-03-28T12:36:00Z,288-1-1-116,,device_not_recording
1711629420000,2024-03-28T12:37:00Z,288-1-1-116,,device_not_recording
1711629480000,2024-03-28T12:38:00Z,288-1-1-116,,device_not_recording
1711629540000,2024-03-28T12:39:00Z,288-1-1-116,,device_not_recording
1711629600000,2024-03-28T12:40:00Z,288-1-1-116,,device_not_recording
1711629660000,2024-03-28T12:41:00Z,288-1-1-116,,device_not_recording
1711629720000,2024-03-28T12:42:00Z,288-1-1-116,,device_not_recording
1711629780000,2024-03-28T12:43:00Z,288-1-1-116,,device_not_recording
1711629840000,2024-03-28T12:44:00Z,288-1-1-116,,device_not_recording
